output,employment,unemployment,vacancies,inflation,interest_rate,separation_threshold,consumption
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,3.0347282600207137e-06,5.3564089257385206e-06,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,2.0333184402865356e-06,3.9101785156425706e-06,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,1.3623460279887922e-06,2.8544303163346996e-06,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,9.127820170817813e-07,2.08373413101981e-06,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,6.115685204921562e-07,1.5211259156711066e-06,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,4.097529600066707e-07,1.1104219184154829e-06,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,2.745354037436698e-07,8.106080002789895e-07,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,1.839391337021823e-07,5.917438401503716e-07,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,1.232394053474195e-07,4.319730035895475e-07,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,8.257048489390684e-08,3.153402923228299e-07,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,5.5322262104695596e-08,2.301984134422952e-07,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,3.706593254548807e-08,1.6804484181953683e-07,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,2.483418226617573e-08,1.2267273441501914e-07,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,1.6638905364629863e-08,8.955109631614278e-08,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,1.1148068246313869e-08,6.537230023972995e-08,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,7.469206364518755e-09,4.772177919498688e-08,0.5615836697332064,-0.8147076212
